Frame,MergedParticles,SplitParticles,TotalParticles
564,2,0,53208
565,4,1,53206
566,3,2,53203
567,6,0,53202
568,7,0,53196
569,5,1,53189
570,8,0,53185
571,6,1,53177
572,5,0,53172
573,4,1,53167
574,10,0,53164
575,5,2,53154
576,5,0,53151
577,5,1,53146
578,7,1,53142
579,4,0,53136
580,1,1,53132
581,6,2,53132
582,6,1,53128
583,12,2,53123
584,2,0,53113
585,4,0,53111
586,7,2,53107
587,12,0,53102
588,3,0,53090
589,4,1,53087
590,8,0,53084
591,12,0,53076
592,15,0,53064
593,12,3,53049
594,8,2,53040
595,6,0,53034
596,11,4,53028
597,11,3,53021
598,8,0,53013
599,9,1,53005
600,2,1,52997
601,10,0,52996
602,5,2,52986
603,9,1,52983
604,6,1,52975
605,5,0,52970
606,3,0,52965
607,9,2,52962
608,9,1,52955
609,11,1,52947
610,5,1,52937
611,2,0,52933
612,4,1,52931
613,7,0,52928
614,5,1,52921
615,6,1,52917
616,6,2,52912
617,5,1,52908
618,7,2,52904
619,2,0,52899
620,8,2,52897
621,3,0,52891
622,7,1,52888
623,5,1,52882
624,5,2,52878
625,6,3,52875
626,3,0,52872
627,6,1,52869
628,4,1,52864
629,3,1,52861
630,5,1,52859
631,6,0,52855
632,3,1,52849
633,5,0,52847
634,7,0,52842
635,5,0,52835
636,7,1,52830
637,4,0,52824
638,8,0,52820
639,2,2,52812
640,10,0,52812
641,6,2,52802
642,4,0,52798
643,6,0,52794
644,3,2,52788
645,5,0,52787
646,5,0,52782
647,4,0,52777
648,4,0,52773
649,6,0,52769
650,4,1,52763
651,9,1,52760
652,4,0,52752
653,4,1,52748
654,8,0,52745
655,3,0,52737
656,3,1,52734
657,4,1,52732
658,5,0,52729
659,2,1,52724
660,4,0,52723
661,1,0,52719
662,3,1,52718
663,3,0,52716
664,3,0,52713
665,2,1,52710
666,8,0,52709
667,2,2,52701
668,7,0,52701
669,2,1,52694
670,3,2,52693
671,0,0,52692
672,3,1,52692
673,3,2,52690
674,2,1,52689
675,6,1,52688
676,4,1,52683
677,5,0,52680
678,7,0,52675
679,4,1,52668
680,6,0,52665
681,1,0,52659
682,5,1,52658
683,1,1,52654
684,3,0,52654
685,4,0,52651
686,0,0,52647
687,1,1,52647
688,5,2,52647
689,5,1,52644
690,2,0,52640
691,2,2,52638
692,8,0,52638
693,1,0,52630
694,3,0,52629
695,1,1,52626
696,1,2,52626
697,1,2,52627
698,5,2,52628
699,2,2,52625
700,2,0,52625
701,2,1,52623
702,0,0,52622
703,2,0,52622
704,3,0,52620
705,2,1,52617
706,4,0,52616
707,3,1,52612
708,2,2,52610
709,2,0,52610
710,3,1,52608
711,0,2,52606
712,4,0,52608
713,3,1,52604
714,1,0,52602
715,1,0,52601
716,4,0,52600
717,2,0,52596
718,4,2,52594
719,5,0,52592
720,3,0,52587
721,1,0,52584
722,4,1,52583
723,4,1,52580
724,1,0,52577
725,1,1,52576
726,1,0,52576
727,2,0,52575
728,1,0,52573
729,1,0,52572
730,5,0,52571
731,1,2,52566
732,1,0,52567
733,2,2,52566
734,5,0,52566
735,4,1,52561
736,3,2,52558
737,3,1,52557
738,5,0,52555
739,3,0,52550
740,2,1,52547
741,1,0,52546
742,1,1,52545
743,5,0,52545
744,2,0,52540
745,3,2,52538
746,2,1,52537
747,2,1,52536
748,2,0,52535
749,2,1,52533
750,2,0,52532
751,0,0,52530
752,0,0,52530
753,3,0,52530
754,1,0,52527
755,2,0,52526
756,2,0,52524
757,1,0,52522
758,2,0,52521
759,3,2,52519
760,5,4,52518
761,2,1,52517
762,2,0,52516
763,5,0,52514
764,1,0,52509
765,1,0,52508
766,5,0,52507
767,2,2,52502
768,2,0,52502
769,1,0,52500
770,3,0,52499
771,3,1,52496
772,1,2,52494
773,3,2,52495
